año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2016,3.2600000000000000e+02,0,0,0,0,0,0,0,0,0,0,463,39840,0,0,463,29783,0,0,0,0,0,0
2016,4.4200000000000000e+02,356,248,0,0,0,0,0,0,0,0,1320,14674,1,5,0,0,0,0,0,0,0,0
2016,2.9400000000000000e+02,344,276,113,171,0,0,0,0,0,0,1301,14687,0,0,0,0,0,0,0,0,0,0
2016,3.7800000000000000e+02,0,0,0,0,0,0,0,0,0,0,3557,38109,0,0,0,0,0,0,0,0,0,0
2016,4.0200000000000000e+02,59,0,0,0,0,0,0,0,0,0,245,2994,401,16331,0,0,0,0,0,0,0,0
2016,2.9000000000000000e+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1440,0,0,0,0,0,0
2016,4.5000000000000000e+02,0,0,0,0,0,0,0,0,0,0,320,4800,0,0,0,0,0,0,0,0,0,0
2016,6.5600000000000000e+02,0,0,0,0,0,0,0,0,0,0,678,12132,0,0,118,2006,0,0,0,0,0,0
2016,3.3300000000000000e+02,281,317,0,0,0,0,0,0,0,0,913,16432,0,0,0,0,193,1151,0,0,0,0
2016,6.6800000000000000e+02,0,183,0,0,0,0,0,0,0,0,1453,16605,0,0,0,0,20,2925,0,0,0,0
2016,6.8400000000000000e+02,0,0,0,0,0,0,0,0,0,0,1357,21066,0,0,0,0,0,0,0,0,0,0
2016,4.2200000000000000e+02,67,61,13,31,0,0,0,0,0,0,671,7689,0,0,0,0,115,1262,0,0,0,0
2016,7.6300000000000000e+02,2182,1419,508,848,1386,27694,0,0,0,0,12751,259412,0,0,1183,24207,1585,15365,8195,79438,2139,20740
2016,7.4100000000000000e+02,2914,585,0,0,2533,20297,0,0,0,0,3464,74683,161,3542,199,4378,0,0,0,0,0,0
2016,5.5300000000000000e+02,1071,1810,0,0,0,0,0,0,0,0,1269,26637,0,0,0,0,141,6217,0,0,0,0
2016,3.5700000000000000e+02,0,0,0,0,0,0,0,0,0,0,215,1451,0,0,0,0,0,0,0,0,0,0
2016,8.9900000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.0000000000000000e+02,0,0,0,0,0,0,0,0,0,0,131,1463,0,0,0,0,0,0,0,0,0,0
2016,9.3200000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.5000000000000000e+02,0,0,0,0,0,0,0,0,0,0,1525,38136,47,1416,0,0,0,0,0,0,0,0
2016,9.6600000000000000e+02,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.6700000000000000e+02,0,0,0,0,0,0,0,0,0,0,104,1091,0,0,0,0,0,0,0,0,0,0
2016,9.8200000000000000e+02,705,243,0,0,143,2730,0,0,10,18,2240,33219,24,138,0,0,0,0,0,0,0,0
2016,1.0140000000000000e+03,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0800000000000000e+03,272,310,201,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.0740000000000000e+03,0,0,0,0,0,0,0,0,0,0,4500,31281,0,0,0,0,0,0,0,0,0,0
2016,1.0840000000000000e+03,0,0,0,0,0,0,0,0,0,0,5828,32886,425,3848,0,0,0,0,0,0,0,0
2016,1.1130000000000000e+03,0,0,0,0,0,0,0,0,0,0,39,75,0,0,0,0,0,0,0,0,0,0
2016,7.2200000000000000e+02,6274,5394,0,0,1105,20690,0,0,149,537,9961,162134,620,12818,584,13011,84,9161,0,0,73,26604
2016,6.6000000000000000e+02,0,1547,0,0,0,0,0,0,0,0,1332,26960,0,0,0,0,69,7611,0,0,0,0
2016,7.5000000000000000e+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,6810,0,0,0,0,0,0
2016,2.4900000000000000e+02,45,40,0,0,0,0,0,0,0,0,196,3518,0,0,0,0,0,0,0,0,0,0
2016,2.7500000000000000e+02,0,0,0,0,0,0,0,0,0,0,2420,38390,0,0,0,0,0,0,0,0,0,0
2016,2.2700000000000000e+02,255,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.5000000000000000e+02,0,0,0,0,0,0,0,0,0,0,276,904,3,20,0,0,0,0,0,0,0,0
2016,4.7000000000000000e+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1.7200000000000000e+02,0,0,0,0,0,0,0,0,0,0,791,13314,0,0,0,0,0,0,0,0,0,0
2016,5.8100000000000000e+02,0,500,0,0,0,0,0,0,0,0,1437,29735,0,0,0,0,0,0,0,0,0,0
2016,1.2000000000000000e+02,0,0,0,0,0,0,0,0,0,0,2680,39590,144,5536,0,0,0,0,0,0,0,0
2016,4.4500000000000000e+02,0,0,0,0,0,0,0,0,0,0,112,3002,0,0,0,0,0,0,0,0,0,0
2016,4.7100000000000000e+02,0,0,0,0,0,0,0,0,0,0,4686,68785,0,0,0,0,0,0,0,0,0,0
2016,5.3000000000000000e+01,0,0,0,0,0,0,0,0,0,0,223,3345,0,0,0,0,0,0,0,0,0,0
2016,1.9900000000000000e+02,0,0,63,63,0,0,0,0,0,0,2126,63125,268,10359,0,0,0,0,0,0,0,0
2016,5.7500000000000000e+02,0,0,0,0,0,0,0,0,0,0,1047,13219,0,0,0,0,0,0,0,0,0,0
2016,5.2800000000000000e+02,0,338,0,0,0,0,0,0,0,0,4878,40400,0,0,0,0,0,0,0,0,0,0
2016,6.3100000000000000e+02,0,0,0,0,0,0,0,0,0,0,4001,25975,0,0,0,0,40,5644,,,2,744
2016,6.9900000000000000e+02,0,1866,0,0,0,0,0,0,0,0,14478,48670,0,0,0,0,0,0,0,0,0,0
2016,8.2300000000000000e+02,0,0,0,0,0,0,0,0,0,0,1795,36220,0,0,0,0,0,0,0,0,0,0
2016,8.4900000000000000e+02,0,0,0,0,0,0,0,0,0,0,4514,20177,0,0,0,0,0,0,0,0,0,0
2016,8.6900000000000000e+02,0,0,0,0,0,0,0,0,0,0,1086,15221,0,0,0,0,0,0,0,0,0,0
2016,9.5500000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11710,0,0,0,0,0,0
2016,9.8300000000000000e+02,0,0,0,0,0,0,0,0,0,0,131,2818,0,0,146,36318,0,0,0,0,0,0
2016,1.0020000000000000e+03,0,0,0,0,0,0,0,0,0,0,47,1217,0,0,0,0,0,0,0,0,0,0
2016,1.0150000000000000e+03,2245,5188,0,0,1042,17967,0,0,1611,1611,9328,87096,0,0,0,0,47,4999,0,0,32,10770
2016,5.1000000000000000e+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4.4100000000000000e+02,0,0,0,0,0,0,0,0,0,0,2327,41891,173,3112,232,4179,0,0,0,0,0,0
2016,3.2700000000000000e+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.9000000000000000e+02,502,2029,82,135,465,7492,0,0,109,394,1275,17390,77,634,5,63,112,6017,0,0,0,0
2016,2.6200000000000000e+02,0,17,0,0,0,0,0,0,0,0,1617,32498,0,0,0,0,0,0,0,0,0,0
2016,4.0300000000000000e+02,0,0,0,0,0,0,0,0,0,0,62,186,0,0,0,0,0,0,0,0,0,0
