año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2016,3.4800000000000000e+02,511,15175,0,0,0,0
2016,7.6600000000000000e+02,946,3203,0,0,0,0
2016,7.6100000000000000e+02,0,0,45,1039,180,11507
2016,7.2800000000000000e+02,863,3790,0,0,0,0
2016,2.8000000000000000e+02,478,3607,0,0,0,0
2016,2.2200000000000000e+02,51,365,0,0,0,0
2016,2.7600000000000000e+02,1012,7658,0,0,0,0
2016,1.1000000000000000e+01,798,1676,0,0,0,0
2016,3.0200000000000000e+02,0,0,0,0,0,0
2016,6.8200000000000000e+02,4495,16834,0,0,0,0
2016,2.7900000000000000e+02,616,3239,0,0,0,0
2016,2.8200000000000000e+02,663,7542,0,0,0,0
2016,2.8100000000000000e+02,470,7624,0,0,0,0
2016,1.8300000000000000e+02,0,0,0,0,0,0
2016,6.1000000000000000e+02,0,0,0,0,0,0
2016,1.1600000000000000e+02,0,0,0,0,232,4746
2016,1.1500000000000000e+02,0,0,0,0,0,0
2016,1.1400000000000000e+02,0,0,0,0,0,0
2016,1.1900000000000000e+02,0,0,0,0,0,0
2016,7.7000000000000000e+02,7731,20617,40,1549,0,0
2016,5.8300000000000000e+02,152,9969,0,0,0,0
2016,1.3600000000000000e+02,0,0,0,0,314,12590
2016,4.6900000000000000e+02,1772,5612,0,0,34,3325
2016,6.4200000000000000e+02,259,1649,0,0,112,4720
2016,6.7400000000000000e+02,2473,11087,392,13253,0,0
2016,1.9300000000000000e+02,0,0,0,0,85,3980
2016,5.2600000000000000e+02,5379,23723,0,0,190,6530
2016,6.9800000000000000e+02,4731,33081,34,1171,0,0
2016,6.3000000000000000e+02,1961,5798,0,0,0,0
2016,1.2400000000000000e+02,0,0,0,0,217,7592
2016,3.6400000000000000e+02,0,0,0,0,181,8120
2016,4.3900000000000000e+02,399,1722,0,0,0,0
2016,5.7000000000000000e+02,5973,25744,216,4330,0,0
2016,1.2300000000000000e+02,0,0,0,0,303,14762
2016,3.1000000000000000e+02,0,0,216,12010,157,13881
2016,5.7100000000000000e+02,1273,7975,0,0,0,0
