año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,3.9400000000000000e+02,0,244044,0,244044,0,244044
2017,6.1400000000000000e+02,0,24071,0,24071,0,24071
2017,2.3500000000000000e+02,23018,935547,0,935547,47040,1005605
2017,6.1600000000000000e+02,66768,865932,0,865932,0,932700
2017,2.6700000000000000e+02,6990,1078913,0,1078913,116575,1202478
2017,5.6500000000000000e+02,0,1067913,0,1067913,0,1067913
2017,2.2000000000000000e+02,179483,660343,0,660343,0,839826
2017,2.7800000000000000e+02,111274,2673792,-428388,3102180,0,2785066
2017,1.0700000000000000e+02,26471,1042357,0,1042357,0,1068828
2017,7.1100000000000000e+02,841555,2839444,0,2839444,763395,4444394
2017,2.0400000000000000e+02,0,124987,0,124987,0,124987
2017,5.7900000000000000e+02,0,290388,0,290388,0,290388
2017,3.4800000000000000e+02,298593,6201091,0,6201091,0,6499684
2017,7.6600000000000000e+02,360436,1324778,0,1324778,0,1685214
2017,7.6100000000000000e+02,0,943758,0,943758,0,943758
2017,7.2800000000000000e+02,22009,2906691,0,2906691,0,2928700
2017,2.8000000000000000e+02,48758,2260661,0,2260661,0,2309419
2017,2.2200000000000000e+02,7920,385224,0,385224,0,393144
2017,2.7600000000000000e+02,10701,2818149,0,2818149,0,2828850
2017,1.1000000000000000e+01,108305,1459671,0,1459671,0,1567976
2017,3.0200000000000000e+02,23652,445539,0,445539,0,469191
2017,6.8200000000000000e+02,323404,4135402,0,4135402,-670775,3788031
2017,2.7900000000000000e+02,0,2530137,0,2530137,0,2530137
2017,2.8200000000000000e+02,0,0,0,0,2437383,2437383
2017,2.8100000000000000e+02,0,3048959,0,3048959,333041,3382000
2017,1.8300000000000000e+02,3080,35730,0,35730,54101,92911
2017,6.1000000000000000e+02,208155,597210,0,597210,0,805365
2017,1.1600000000000000e+02,0,163455,0,163455,0,163455
2017,1.1500000000000000e+02,0,63169,0,63169,0,63169
2017,1.1400000000000000e+02,0,15560,0,15560,0,15560
2017,1.1900000000000000e+02,0,40820,0,40820,0,40820
2017,7.7000000000000000e+02,0,3007415,0,3007415,0,3007415
2017,5.8300000000000000e+02,110731,211321,0,211321,0,322052
2017,1.3600000000000000e+02,0,50425,0,50425,0,50425
2017,4.6900000000000000e+02,52119,151488,0,151488,0,203607
2017,6.4200000000000000e+02,10364,838068,0,838068,0,848432
2017,6.7400000000000000e+02,380893,10703071,0,10703071,0,11083964
2017,1.9300000000000000e+02,320,29297,0,29297,0,29617
2017,5.2600000000000000e+02,23396,2215355,0,2215355,0,2238751
2017,6.9800000000000000e+02,2676,9547815,0,9547815,0,9550491
2017,6.3000000000000000e+02,87871,761653,0,761653,0,849524
2017,1.2400000000000000e+02,0,42837,0,42837,0,42837
2017,3.6400000000000000e+02,0,101659,0,101659,0,101659
2017,4.3900000000000000e+02,15201,266537,0,266537,1120,282858
2017,5.7000000000000000e+02,86681,2690319,0,2690319,6384,2783384
2017,1.2300000000000000e+02,0,227303,0,227303,0,227303
2017,3.1000000000000000e+02,35031,581515,0,581515,15488,632034
2017,5.7100000000000000e+02,41201,896616,0,896616,63537,1001354
2017,2.9600000000000000e+02,4644,39187,0,39187,0,43831
2017,5.6600000000000000e+02,0,493504,0,493504,0,493504
2017,7.8400000000000000e+02,433583,4352564,0,4352564,0,4786147
2017,1.0200000000000000e+02,46082,127740,0,127740,2597686,2771508
2017,3.7900000000000000e+02,881180,287871,0,287871,270544,1439595
2017,6.3900000000000000e+02,881180,1425201,0,1425201,332551,2638932
2017,4.5700000000000000e+02,89173,157711,0,157711,0,246884
2017,6.0900000000000000e+02,31597,6898792,0,6898792,0,6930389
2017,1.0100000000000000e+02,0,219083,0,219083,5948,225031
2017,4.5400000000000000e+02,42377,609113,0,609113,0,651490
2017,3.1800000000000000e+02,0,103930,0,103930,0,103930
2017,6.0000000000000000e+02,154541,505171,0,505171,0,659712
2017,5.4500000000000000e+02,188432,667230,0,667230,0,855662
2017,1.0000000000000000e+02,515,9323,0,9323,0,9838
2017,7.0200000000000000e+02,25178,2126901,0,2126901,0,2152079
2017,7.7800000000000000e+02,693556,3355486,0,3355486,0,4049042
2017,3.4100000000000000e+02,0,27790,0,27790,0,27790
2017,9.9000000000000000e+01,8061,114066,0,114066,1161666,1283793
2017,7.6700000000000000e+02,0,272940,0,272940,0,272940
2017,3.5900000000000000e+02,21358,306983,0,306983,0,328341
2017,9.8000000000000000e+01,0,22125,0,22125,0,22125
2017,1.3200000000000000e+02,0,21204,0,21204,350641,371845
2017,9.7000000000000000e+01,0,179865,0,179865,0,179865
2017,1.0300000000000000e+02,22293,39428,0,39428,0,61721
2017,1.1000000000000000e+02,0,171026,0,171026,0,171026
2017,9.4000000000000000e+01,0,387590,0,387590,0,387590
2017,9.1000000000000000e+01,1937,145475,0,145475,0,147412
2017,6.6400000000000000e+02,387539,2142916,0,2142916,0,2530455
2017,9.1800000000000000e+02,101902,42825333,0,42825333,0,42927235
2017,9.2000000000000000e+01,0,2027,0,2027,0,2027
2017,9.5000000000000000e+01,0,83307,0,83307,0,83307
2017,3.0100000000000000e+02,27846,374817,0,374817,0,402663
2017,4.9200000000000000e+02,101849,813527,0,813527,0,915376
2017,8.1100000000000000e+02,0,363680,0,363680,0,363680
