año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2016,6.1600000000000000e+02,54388,375896,0,375896,0,430284
2016,2.6700000000000000e+02,166503,2604508,0,2604508,70602,2841613
2016,5.6500000000000000e+02,121562,845189,0,845189,0,966751
2016,2.2000000000000000e+02,13592,417016,0,417016,0,430608
2016,2.7800000000000000e+02,9927,862122,289632,572490,0,872049
2016,1.0700000000000000e+02,46832,846122,0,846122,0,892954
2016,7.1100000000000000e+02,417466,2778541,0,2778541,1192,3197199
2016,2.0400000000000000e+02,0,15354,0,15354,-8000,7354
2016,5.7900000000000000e+02,13888,131998,0,131998,0,145886
2016,3.4800000000000000e+02,391091,3800804,390000,3410804,0,4191895
2016,7.6600000000000000e+02,934325,2154076,0,2154076,0,3088401
2016,7.6100000000000000e+02,0,526388,0,526388,0,526388
2016,7.2800000000000000e+02,1739,1304135,0,1304135,0,1305874
2016,2.8000000000000000e+02,6286,1611802,0,1611802,0,1618088
2016,2.2200000000000000e+02,32640,1048315,0,1048315,0,1080955
2016,2.7600000000000000e+02,21988,1222503,0,1222503,0,1244491
2016,1.1000000000000000e+01,292392,2844950,0,2844950,0,3137342
2016,3.0200000000000000e+02,16334,271471,0,271471,0,287805
2016,6.8200000000000000e+02,275119,735354,0,735354,763020,1773493
2016,2.7900000000000000e+02,0,1697174,0,1697174,0,1697174
2016,2.8200000000000000e+02,0,0,0,0,807000,807000
2016,2.8100000000000000e+02,0,3971501,0,3971501,887185,4858686
2016,1.8300000000000000e+02,0,2560,0,2560,0,2560
2016,6.1000000000000000e+02,0,388106,0,388106,0,388106
2016,1.1600000000000000e+02,4598,36593,0,36593,0,41191
2016,1.1500000000000000e+02,0,4189,0,4189,0,4189
2016,1.1400000000000000e+02,0,236839,0,236839,0,236839
2016,1.1900000000000000e+02,0,219220,0,219220,0,219220
2016,7.7000000000000000e+02,0,23863998,0,23863998,0,23863998
2016,5.8300000000000000e+02,169548,204586,0,204586,0,374134
2016,1.3600000000000000e+02,0,47064,0,47064,0,47064
2016,4.6900000000000000e+02,31870,97516,0,97516,0,129386
2016,6.4200000000000000e+02,20252,581856,0,581856,0,602108
2016,6.7400000000000000e+02,440219,8158561,0,8158561,0,8598780
2016,1.9300000000000000e+02,0,17883,0,17883,0,17883
2016,5.2600000000000000e+02,220241,2355643,42227,2313416,0,2575884
2016,6.9800000000000000e+02,222908,3398577,0,3398577,0,3621485
2016,6.3000000000000000e+02,103027,651592,0,651592,0,754619
2016,1.2400000000000000e+02,0,30143,0,30143,1262,31405
2016,3.6400000000000000e+02,0,1,0,1,0,1
2016,4.3900000000000000e+02,17704,193156,0,193156,2052,212912
2016,5.7000000000000000e+02,65778,881780,0,881780,7625,955183
2016,1.2300000000000000e+02,12991,1098198,0,1098198,0,1111189
2016,3.1000000000000000e+02,31317,1488812,0,1488812,0,1520129
2016,5.7100000000000000e+02,0,873036,0,873036,58550,931586
2016,2.9600000000000000e+02,0,64282,0,64282,0,64282
2016,5.6600000000000000e+02,0,493504,0,493504,0,493504
2016,7.8400000000000000e+02,49218,4254572,0,4254572,0,4303790
2016,1.0200000000000000e+02,42702,1225587,0,1225587,2685906,3954195
2016,3.7900000000000000e+02,118765,463712,0,463712,0,582477
