año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2016,2.8000000000000000e+02,43592,3515,147,2,47256
2016,2.2200000000000000e+02,1294,94,0,0,1388
2016,2.7600000000000000e+02,77541,3879,593,1,82014
2016,1.1000000000000000e+01,14019,3222,36,9,17286
2016,3.0200000000000000e+02,29660,343,74,2,30079
2016,6.8200000000000000e+02,16541,1689,192,12,18434
2016,2.7900000000000000e+02,85408,5308,387,2,91105
2016,2.8200000000000000e+02,84594,6408,73,0,91075
2016,2.8100000000000000e+02,44259,7021,88,46,51414
2016,1.8300000000000000e+02,1292,17,0,0,1309
2016,6.1000000000000000e+02,14289,43,0,0,14332
2016,1.1600000000000000e+02,0,0,0,0,0
2016,1.1500000000000000e+02,0,0,0,0,0
2016,1.1400000000000000e+02,0,0,0,0,0
2016,1.1900000000000000e+02,34,14,0,0,48
2016,7.7000000000000000e+02,101057,12873,1515,121,115566
2016,5.8300000000000000e+02,51993,2693,579,16,55281
2016,1.3600000000000000e+02,0,0,0,0,0
2016,4.6900000000000000e+02,27738,2354,161,8,30261
2016,6.4200000000000000e+02,44320,6932,920,103,52275
2016,6.7400000000000000e+02,133494,10242,129,1,143866
2016,1.9300000000000000e+02,0,0,0,0,0
2016,5.2600000000000000e+02,101887,10808,492,41,113228
2016,6.9800000000000000e+02,87200,13785,6813,260,108058
2016,6.3000000000000000e+02,53046,3890,780,19,57735
2016,1.2400000000000000e+02,0,0,0,0,0
2016,3.6400000000000000e+02,0,0,0,0,0
2016,4.3900000000000000e+02,33683,1438,350,0,35471
2016,5.7000000000000000e+02,95178,13014,2938,28,111158
2016,1.2300000000000000e+02,0,0,0,0,0
2016,3.1000000000000000e+02,1921,1115,0,0,3036
2016,5.7100000000000000e+02,49491,4752,1020,52,55315
2016,2.9600000000000000e+02,4727,0,0,0,4727
2016,5.6600000000000000e+02,74016,4794,464,72,79346
2016,7.8400000000000000e+02,121813,14140,3658,326,139937
2016,1.0200000000000000e+02,0,0,0,0,0
2016,3.7900000000000000e+02,0,0,0,0,0
2016,6.3900000000000000e+02,80311,7145,2378,20,89854
2016,4.5700000000000000e+02,26256,1513,280,13,28062
2016,6.0900000000000000e+02,115095,9392,146,4,124637
2016,1.0100000000000000e+02,0,0,0,0,0
2016,4.5400000000000000e+02,48988,6327,872,33,56220
2016,3.1800000000000000e+02,2836,1031,120,0,3987
2016,6.0000000000000000e+02,56310,6419,705,3,63437
2016,5.4500000000000000e+02,110225,7445,599,148,118417
2016,1.0000000000000000e+02,0,0,0,0,0
2016,7.0200000000000000e+02,111864,9196,1652,146,122858
2016,7.7800000000000000e+02,49901,9507,693,26,60127
2016,3.4100000000000000e+02,5870,213,10,0,6093
2016,9.9000000000000000e+01,0,0,0,0,0
2016,7.6700000000000000e+02,38744,5701,1292,39,45776
2016,3.5900000000000000e+02,43679,59,1305,2,45045
2016,9.8000000000000000e+01,0,0,0,0,0
2016,1.3200000000000000e+02,0,0,0,0,0
2016,9.7000000000000000e+01,0,0,0,0,0
2016,1.0300000000000000e+02,0,0,0,0,0
2016,1.1000000000000000e+02,0,0,0,0,0
2016,9.4000000000000000e+01,0,0,0,0,0
2016,9.1000000000000000e+01,0,0,0,0,0
2016,6.6400000000000000e+02,100042,11239,1000,102,112383
2016,9.1800000000000000e+02,175318,30359,3625,280,209582
2016,9.2000000000000000e+01,0,0,0,0,0
2016,9.5000000000000000e+01,0,0,0,0,0
2016,3.0100000000000000e+02,17485,0,42,0,17527
2016,4.9200000000000000e+02,46586,3760,981,22,51349
2016,8.1100000000000000e+02,10724,1249,12,5,11990
2016,8.1200000000000000e+02,0,0,0,0,0
2016,8.3200000000000000e+02,0,0,0,0,0
2016,8.4100000000000000e+02,0,0,0,0,0
2016,8.5600000000000000e+02,0,0,0,0,0
2016,8.5900000000000000e+02,0,0,0,0,0
2016,8.6100000000000000e+02,0,0,0,0,0
2016,8.8000000000000000e+02,0,0,0,0,0
2016,8.8300000000000000e+02,0,0,0,0,0
2016,8.8400000000000000e+02,0,0,0,0,0
2016,8.7700000000000000e+02,0,0,0,0,0
2016,9.1100000000000000e+02,0,0,0,0,0
2016,9.1300000000000000e+02,1873,319,95,0,2287
2016,9.2200000000000000e+02,39980,2387,0,3,42370
2016,9.2300000000000000e+02,0,0,0,0,0
2016,9.2400000000000000e+02,0,0,0,0,0
2016,9.4700000000000000e+02,0,0,0,0,0
2016,9.5100000000000000e+02,0,0,0,0,0
2016,1.1030000000000000e+03,0,0,0,0,0
2016,9.7200000000000000e+02,0,0,0,0,0
2016,9.7300000000000000e+02,11253,62,4,0,11319
2016,9.7400000000000000e+02,0,0,0,0,0
2016,9.7500000000000000e+02,0,0,0,0,0
2016,9.6000000000000000e+02,0,0,0,0,0
2016,1.0280000000000000e+03,0,0,0,0,0
2016,9.7600000000000000e+02,0,0,0,0,0
2016,9.7700000000000000e+02,0,0,0,0,0
2016,1.0200000000000000e+03,0,0,0,0,0
2016,9.9400000000000000e+02,55596,6669,737,15,63017
2016,9.9500000000000000e+02,0,0,0,0,0
2016,1.0600000000000000e+03,335,255,58,0,648
2016,1.0050000000000000e+03,0,0,0,0,0
2016,1.0610000000000000e+03,0,0,0,0,0
2016,1.0060000000000000e+03,0,0,0,0,0
2016,1.0880000000000000e+03,0,0,0,0,0
2016,1.0890000000000000e+03,39479,1197,129,0,40805
2016,1.0760000000000000e+03,0,0,0,0,0
2016,1.0780000000000000e+03,0,0,0,0,0
2016,1.0330000000000000e+03,56460,8450,2019,114,67043
2016,1.0370000000000000e+03,0,0,0,0,0
2016,1.0390000000000000e+03,0,0,0,0,0
2016,1.0670000000000000e+03,0,0,0,0,0
2016,1.0650000000000000e+03,0,0,0,0,0
2016,1.0660000000000000e+03,33157,1721,58,0,34936
2016,1.1000000000000000e+03,0,0,0,0,0
2016,1.1050000000000000e+03,0,0,0,0,0
2016,1.1070000000000000e+03,0,0,0,0,0
2016,1.1110000000000000e+03,0,0,0,0,0
2016,1.1210000000000000e+03,0,0,0,0,0
2016,2.0700000000000000e+02,17598,454,84,0,18136
2016,4.3100000000000000e+02,0,0,0,0,0
2016,3.8700000000000000e+02,24943,3974,651,19,29587
2016,1.7900000000000000e+02,0,0,0,0,0
2016,6.0600000000000000e+02,22809,4131,473,19,27432
2016,9.2500000000000000e+02,114152,19116,222,70,133560
2016,5.4100000000000000e+02,15724,2377,513,18,18632
2016,7.9700000000000000e+02,15817,2616,293,22,18748
2016,6.2700000000000000e+02,34540,8495,305,89,43429
2016,1.7300000000000000e+02,0,0,0,0,0
2016,6.3600000000000000e+02,66705,11757,1012,118,79592
2016,2.0500000000000000e+02,7170,385,186,0,7741
2016,8.1400000000000000e+02,467,89,3,0,559
2016,8.8100000000000000e+02,12043,489,244,0,12776
2016,7.7100000000000000e+02,117000,10501,821,88,128410
2016,5.3300000000000000e+02,11098,791,0,0,11889
2016,4.4700000000000000e+02,6515,1879,78,1,8473
2016,8.1500000000000000e+02,510,9,38,0,557
2016,8.0100000000000000e+02,119629,12713,1201,191,133734
2016,8.0000000000000000e+02,5477,387,54,0,5918
2016,3.8900000000000000e+02,63015,4831,655,6,68507
2016,6.9500000000000000e+02,80147,10384,530,90,91151
2016,8.1600000000000000e+02,44931,3829,395,29,49184
2016,8.3300000000000000e+02,72160,3790,991,17,76958
2016,8.7000000000000000e+02,32449,1539,66,2,34056
2016,9.2700000000000000e+02,60310,835,46,19,61210
2016,9.6100000000000000e+02,162211,11821,1158,135,175325
2016,9.6200000000000000e+02,12449,558,7,2,13016
2016,1.0790000000000000e+03,25904,0,0,0,25904
2016,1.1010000000000000e+03,50387,2582,58,1,53028
2016,6.6600000000000000e+02,89195,13320,930,71,103516
2016,3.9200000000000000e+02,0,0,0,0,0
2016,7.9000000000000000e+02,13447,1895,172,2,15516
2016,6.5000000000000000e+02,34281,4540,488,29,39338
2016,8.7600000000000000e+02,48725,9763,819,58,59365
2016,9.4400000000000000e+02,0,60,0,0,60
2016,9.5200000000000000e+02,52109,2109,51,2,54271
2016,5.4000000000000000e+01,0,0,0,0,0
2016,3.6700000000000000e+02,20481,603,195,3,21282
2016,5.3800000000000000e+02,50783,8438,307,84,59612
2016,5.5700000000000000e+02,25909,2993,185,9,29096
2016,6.5300000000000000e+02,40454,5023,735,55,46267
2016,6.4700000000000000e+02,29813,3469,463,56,33801
2016,9.7800000000000000e+02,80861,14085,29,77,95052
2016,9.9600000000000000e+02,32432,2844,355,37,35668
2016,7.2900000000000000e+02,188828,19033,3237,267,211365
2016,1.8200000000000000e+02,36188,1215,181,4,37588
2016,6.3300000000000000e+02,32575,132,60,0,32767
2016,6.8500000000000000e+02,56347,8344,541,48,65280
2016,6.8300000000000000e+02,28050,3719,379,41,32189
2016,9.4500000000000000e+02,44329,2416,792,39,47576
2016,9.5300000000000000e+02,13917,15,0,0,13932
2016,1.0220000000000000e+03,45957,448,2136,20,48561
2016,1.0490000000000000e+03,22187,306,1676,18,24187
2016,7.9400000000000000e+02,142780,25834,1184,440,170238
2016,4.1500000000000000e+02,73,16,0,0,89
2016,5.9200000000000000e+02,39686,1882,59,0,41627
2016,4.9700000000000000e+02,11058,914,12,0,11984
2016,4.5800000000000000e+02,76495,4287,88,8,80878
2016,7.2600000000000000e+02,52977,10235,1349,125,64686
2016,2.7200000000000000e+02,16763,1134,280,0,18177
2016,8.0500000000000000e+02,133974,21219,34,217,155444
2016,5.0000000000000000e+00,0,0,0,0,0
2016,2.3400000000000000e+02,27725,721,208,3,28657
2016,6.4000000000000000e+01,0,0,0,0,0
2016,8.4200000000000000e+02,23813,2937,1504,24,28278
2016,8.4300000000000000e+02,14250,2022,617,32,16921
2016,8.0300000000000000e+02,46376,10274,112,42,56804
2016,2.1100000000000000e+02,5765,108,24,0,5897
2016,7.7300000000000000e+02,58741,10695,2035,104,71575
2016,4.2400000000000000e+02,18952,401,56,0,19409
2016,2.9800000000000000e+02,22739,2400,107,1,25247
2016,5.9400000000000000e+02,6112,245,15,0,6372
2016,2.3700000000000000e+02,15974,36,221,0,16231
2016,1.6000000000000000e+01,0,0,0,0,0
2016,7.6800000000000000e+02,10906,1195,374,8,12483
2016,6.1700000000000000e+02,68714,6845,595,74,76228
2016,2.9700000000000000e+02,9120,2415,147,0,11682
2016,1.0500000000000000e+02,0,0,0,0,0
2016,5.4400000000000000e+02,33355,1834,273,14,35476
2016,8.0400000000000000e+02,59077,4954,789,52,64872
2016,1.0400000000000000e+02,0,0,0,0,0
2016,2.0000000000000000e+01,0,0,0,0,0
2016,5.5000000000000000e+02,35862,2651,1016,34,39563
2016,1.1200000000000000e+02,0,0,0,0,0
2016,8.1800000000000000e+02,0,0,0,0,0
2016,8.8200000000000000e+02,0,0,0,0,0
2016,9.1400000000000000e+02,0,0,0,0,0
2016,9.2800000000000000e+02,0,0,0,0,0
2016,9.6400000000000000e+02,42770,7069,750,22,50611
2016,1.0260000000000000e+03,0,0,0,0,0
2016,1.0680000000000000e+03,0,0,0,0,0
2016,1.1080000000000000e+03,24999,1390,433,7,26829
2016,4.0400000000000000e+02,1179,5,7,0,1191
2016,2.7000000000000000e+02,58870,2457,284,4,61615
2016,6.7600000000000000e+02,28694,2997,323,60,32074
2016,7.0900000000000000e+02,72863,5437,788,73,79161
2016,7.5400000000000000e+02,353753,30088,4080,523,388444
2016,9.9700000000000000e+02,56139,2472,2370,12,60993
2016,1.0690000000000000e+03,25344,575,1862,1,27782
2016,1.1180000000000000e+03,46070,1321,32,0,47423
2016,7.3400000000000000e+02,81748,12977,59,73,94857
2016,2.9900000000000000e+02,16453,369,17,1,16840
2016,6.4500000000000000e+02,14225,35,0,0,14260
2016,1.7000000000000000e+01,0,0,0,0,0
2016,1.0460000000000000e+03,0,0,0,0,0
2016,4.2000000000000000e+02,2506,105,0,0,2611
2016,8.0200000000000000e+02,0,0,0,0,0
2016,2.6600000000000000e+02,25769,2719,0,1,28489
2016,1.3700000000000000e+02,6744,7,26,0,6777
2016,7.6900000000000000e+02,0,0,0,0,0
2016,7.7600000000000000e+02,39517,3219,524,17,43277
2016,6.4000000000000000e+02,37986,3095,729,9,41819
2016,3.1500000000000000e+02,0,0,0,0,0
2016,4.0000000000000000e+01,0,0,0,0,0
2016,5.0800000000000000e+02,13639,2465,365,7,16476
2016,4.6000000000000000e+01,0,0,0,0,0
