año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2016,1.1210000000000000e+03,4,0,1,0,0,0,0,18,0,18,0,3,0,0,0,0,0,0,15,0,15,0,0,0,0,2,1,0,0,12,0,12,0,0,0,0,1,1,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1,1,1,1,7,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2016,2.0700000000000000e+02,27,1,0,7,0,1,0,19,0,19,12,25,1,0,3,0,1,0,16,0,16,6,1,0,0,4,0,0,0,7,2,9,1,1,0,0,4,0,0,0,7,0,7,1,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,12,1,1,0,5,11,0,0,0,7,8,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0
2016,4.3100000000000000e+02,19,0,0,5,1,0,0,22,1,23,0,19,0,0,3,1,0,0,21,1,22,0,2,0,0,1,0,0,0,14,0,14,0,2,0,0,1,0,0,0,14,0,14,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,4,5,0,1,1,2,4,0,1,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2016,3.8700000000000000e+02,135,9,0,9,0,0,0,88,33,121,0,132,9,0,7,0,0,0,87,29,116,0,21,0,0,0,0,0,0,10,3,13,0,20,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,9,51,51,3,1,3,46,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,1.7900000000000000e+02,4,0,0,1,0,0,0,37,0,37,0,3,0,0,1,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.0600000000000000e+02,118,6,0,5,0,0,0,93,33,126,0,116,6,0,2,0,0,0,92,30,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,44,77,2,1,0,42,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.2500000000000000e+02,857,19,35,27,5,0,0,631,136,767,0,828,19,33,21,4,0,0,613,126,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,30,192,276,17,7,2,180,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5.4100000000000000e+02,122,6,0,4,0,0,0,96,30,126,4,94,6,0,3,0,0,0,87,27,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,42,58,50,3,1,36,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7.9700000000000000e+02,112,6,0,4,0,0,0,92,22,114,0,92,4,0,3,0,0,0,90,19,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16,57,58,2,1,3,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6.2700000000000000e+02,273,8,11,9,0,1,2,208,57,265,0,235,8,10,7,0,1,1,201,49,250,0,8,0,0,1,0,0,0,7,0,7,0,7,0,0,1,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,67,63,113,5,1,40,50,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
