año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,1.2800000000000000e+02,10694,485,0,0,11179
2017,9.1900000000000000e+02,33775,9718,343,47,43883
2017,7.2500000000000000e+02,126095,19328,0,89,145512
2017,3.0000000000000000e+00,0,0,0,0,0
2017,3.0600000000000000e+02,0,0,0,0,0
2017,1.5000000000000000e+01,7873,16,12,0,7901
2017,2.6400000000000000e+02,31829,2289,95,5,34218
2017,8.6700000000000000e+02,8905,0,0,0,8905
2017,9.1000000000000000e+02,34316,6376,563,56,41311
2017,1.0530000000000000e+03,54235,10700,1110,76,66121
2017,1.0550000000000000e+03,64362,12046,1797,87,78292
2017,1.0810000000000000e+03,0,0,0,0,0
2017,1.0990000000000000e+03,2613,30,0,0,2643
2017,1.1150000000000000e+03,0,0,0,0,0
2017,5.2900000000000000e+02,0,0,0,0,0
2017,3.4500000000000000e+02,0,0,0,0,0
2017,5.1500000000000000e+02,13705,520,0,0,14225
2017,1.7400000000000000e+02,0,0,0,0,0
2017,5.2300000000000000e+02,0,0,0,0,0
2017,6.9700000000000000e+02,83921,6274,306,7,90508
2017,2.3900000000000000e+02,38345,4908,278,1,43532
2017,2.8700000000000000e+02,54744,5641,105,175,60665
2017,3.7700000000000000e+02,0,0,0,0,0
2017,6.9200000000000000e+02,46684,6991,86,31,53792
2017,4.3500000000000000e+02,22403,1449,72,8,23932
2017,4.2300000000000000e+02,10932,1411,0,0,12343
2017,3.5100000000000000e+02,16781,3132,267,8,20188
2017,8.1000000000000000e+02,9100,1204,0,0,10304
2017,8.3000000000000000e+02,63381,9243,513,45,73182
2017,8.9200000000000000e+02,91850,12750,528,118,105246
2017,9.2100000000000000e+02,86187,7924,189,2,94302
2017,9.9100000000000000e+02,17633,224,263,2,18122
2017,9.9200000000000000e+02,56799,5834,517,75,63225
2017,9.9300000000000000e+02,22452,4145,77,9,26683
2017,1.0700000000000000e+03,130276,18498,626,138,149538
2017,1.0950000000000000e+03,19701,1918,339,2,21960
2017,1.0940000000000000e+03,6457,339,32,4,6832
2017,1.1240000000000000e+03,0,0,0,0,0
2017,4.7300000000000000e+02,31007,3274,24,0,34305
2017,6.6300000000000000e+02,108435,11815,5424,203,125877
2017,5.5200000000000000e+02,2867,6,1,0,2874
2017,7.7200000000000000e+02,84548,15013,3949,397,103907
2017,5.6800000000000000e+02,5542,312,0,0,5854
2017,3.9800000000000000e+02,7412,1100,5,0,8517
2017,3.9400000000000000e+02,5265,402,7,0,5674
2017,6.1400000000000000e+02,0,0,0,0,0
2017,2.3500000000000000e+02,2851,15,0,0,2866
2017,6.1600000000000000e+02,45168,1631,2180,11,48990
2017,2.6700000000000000e+02,21960,3745,62,3,25770
2017,5.6500000000000000e+02,0,0,0,0,0
2017,2.2000000000000000e+02,21116,1506,46,2,22670
2017,2.7800000000000000e+02,18937,1909,33,0,20879
2017,1.0700000000000000e+02,0,0,0,0,0
2017,7.1100000000000000e+02,119702,22414,7510,170,149796
2017,2.0400000000000000e+02,55,0,0,0,55
2017,5.7900000000000000e+02,88513,1491,24,0,90028
2017,3.4800000000000000e+02,0,0,0,0,0
2017,7.6600000000000000e+02,15058,1101,239,2,16400
2017,7.6100000000000000e+02,0,0,0,0,0
2017,7.2800000000000000e+02,38089,7231,195,16,45531
2017,2.8000000000000000e+02,46926,3661,117,3,50707
2017,2.2200000000000000e+02,2159,58,0,0,2217
2017,2.7600000000000000e+02,79082,4785,276,0,84143
2017,1.1000000000000000e+01,12804,3204,35,4,16047
2017,3.0200000000000000e+02,31414,533,103,0,32050
2017,6.8200000000000000e+02,17104,2001,202,13,19320
2017,2.7900000000000000e+02,86378,5584,339,1,92302
2017,2.8200000000000000e+02,82182,6411,119,0,88712
2017,2.8100000000000000e+02,42994,6935,80,32,50041
2017,1.8300000000000000e+02,1073,25,0,0,1098
