año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2017,2.0400000000000000e+02,0,0,0,0,31,5460
2017,5.7900000000000000e+02,0,0,0,0,0,0
2017,3.4800000000000000e+02,547,16615,0,0,0,0
2017,7.6600000000000000e+02,964,3523,0,0,0,0
2017,7.6100000000000000e+02,0,0,46,4365,116,10782
2017,7.2800000000000000e+02,827,3832,0,0,0,0
2017,2.8000000000000000e+02,481,3652,0,0,0,0
2017,2.2200000000000000e+02,58,454,0,0,0,0
2017,2.7600000000000000e+02,1408,10028,0,0,0,0
2017,1.1000000000000000e+01,1228,1228,0,0,0,0
2017,3.0200000000000000e+02,0,0,0,0,0,0
2017,6.8200000000000000e+02,4793,17075,0,0,0,0
2017,2.7900000000000000e+02,313,2653,0,0,0,0
2017,2.8200000000000000e+02,717,6941,0,0,0,0
2017,2.8100000000000000e+02,441,7356,0,0,0,0
2017,1.8300000000000000e+02,405,803,0,0,0,0
2017,6.1000000000000000e+02,0,0,0,0,0,0
2017,1.1600000000000000e+02,0,0,0,0,253,4637
2017,1.1500000000000000e+02,0,0,0,0,0,0
2017,1.1400000000000000e+02,0,0,0,0,0,0
2017,1.1900000000000000e+02,0,0,0,0,0,0
2017,7.7000000000000000e+02,8168,20928,37,1651,0,0
2017,5.8300000000000000e+02,147,9998,0,0,0,0
2017,1.3600000000000000e+02,0,0,0,0,256,11643
2017,4.6900000000000000e+02,1384,4944,0,0,34,3325
2017,6.4200000000000000e+02,286,1990,0,0,113,4971
2017,6.7400000000000000e+02,2360,11712,410,18908,0,0
2017,1.9300000000000000e+02,0,0,0,0,92,4137
2017,5.2600000000000000e+02,5685,26165,0,0,206,5905
2017,6.9800000000000000e+02,5113,33746,37,1273,0,0
2017,6.3000000000000000e+02,2134,5989,0,0,0,0
2017,1.2400000000000000e+02,0,0,0,0,233,7602
2017,3.6400000000000000e+02,0,0,0,0,149,8314
2017,4.3900000000000000e+02,519,2189,0,0,0,0
2017,5.7000000000000000e+02,6043,25489,235,4412,0,0
2017,1.2300000000000000e+02,0,0,0,0,323,14658
2017,3.1000000000000000e+02,0,0,225,12796,165,13218
2017,5.7100000000000000e+02,1488,8481,0,0,0,0
2017,2.9600000000000000e+02,0,0,0,0,57,5527
2017,5.6600000000000000e+02,2803,10078,197,3565,0,0
2017,7.8400000000000000e+02,9761,49243,474,8285,74,2735
2017,1.0200000000000000e+02,0,0,108,3631,66,4990
2017,3.7900000000000000e+02,0,0,397,22847,0,0
2017,6.3900000000000000e+02,4295,11645,0,0,0,0
2017,4.5700000000000000e+02,1325,1517,0,0,0,0
2017,6.0900000000000000e+02,219,1816,3,16,0,0
2017,1.0100000000000000e+02,0,0,0,0,92,4474
2017,4.5400000000000000e+02,2572,8645,0,0,0,0
2017,3.1800000000000000e+02,0,0,57,3234,79,5945
2017,6.0000000000000000e+02,1719,15469,0,0,0,0
