año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,5.2400000000000000e+02,66,62,128,0,0
2017,4.3200000000000000e+02,0,0,0,0,0
2017,1.9000000000000000e+01,75,71,146,12,0
2017,2.5000000000000000e+01,0,0,0,0,0
2017,2.6000000000000000e+01,0,0,0,0,0
2017,8.9000000000000000e+02,1133,340,1502,120,0
2017,9.0400000000000000e+02,391,113,510,12,0
2017,9.5700000000000000e+02,3018,813,3916,338,0
2017,9.3900000000000000e+02,1442,351,1813,178,0
2017,2.3600000000000000e+02,144,128,273,16,0
2017,7.3500000000000000e+02,2341,634,3025,336,0
2017,1.4600000000000000e+02,0,0,0,0,0
2017,3.6300000000000000e+02,0,0,0,0,0
2017,1.8700000000000000e+02,0,0,0,0,0
2017,2.6500000000000000e+02,0,0,0,0,0
2017,2.9500000000000000e+02,0,0,0,0,0
2017,4.9600000000000000e+02,649,145,789,17,0
2017,7.7000000000000000e+01,0,0,0,0,0
2017,3.9100000000000000e+02,0,0,0,0,0
2017,2.4000000000000000e+02,93,51,152,0,0
2017,4.4800000000000000e+02,70,17,87,0,0
2017,1.5100000000000000e+02,0,0,0,0,0
2017,4.2500000000000000e+02,16,26,42,1,0
2017,3.0000000000000000e+02,0,0,0,0,0
2017,3.3900000000000000e+02,244,110,347,9,0
2017,8.7400000000000000e+02,361,131,498,18,0
2017,9.0500000000000000e+02,1995,496,2550,246,0
2017,1.1230000000000000e+03,0,0,0,0,0
2017,7.3600000000000000e+02,2346,797,3192,155,0
2017,4.5900000000000000e+02,0,0,0,0,0
2017,3.2000000000000000e+02,0,0,0,0,0
2017,4.5000000000000000e+01,0,0,0,0,0
2017,6.1800000000000000e+02,369,89,459,12,0
2017,4.6300000000000000e+02,0,0,0,0,0
2017,8.9100000000000000e+02,185,183,368,12,0
2017,9.5800000000000000e+02,686,198,896,76,0
2017,2.4400000000000000e+02,0,0,0,0,0
2017,2.8000000000000000e+01,0,0,0,0,0
2017,4.4400000000000000e+02,0,0,0,0,0
2017,4.7900000000000000e+02,0,0,0,0,0
2017,2.8500000000000000e+02,38,27,65,0,0
2017,2.5300000000000000e+02,999,488,1703,165,0
2017,4.8100000000000000e+02,128,110,236,3,0
2017,5.4000000000000000e+02,282,107,377,12,0
2017,4.1000000000000000e+01,0,0,0,0,0
2017,5.1000000000000000e+02,0,0,0,0,0
2017,3.0500000000000000e+02,0,0,0,0,0
2017,7.0800000000000000e+02,692,253,927,37,0
2017,7.5500000000000000e+02,4318,1348,5680,231,0
2017,7.5000000000000000e+02,2663,591,3303,156,0
2017,6.9600000000000000e+02,1961,539,2562,230,1
2017,4.2100000000000000e+02,0,0,0,0,0
2017,8.2700000000000000e+02,0,0,0,0,0
2017,9.3300000000000000e+02,0,0,0,0,0
2017,1.0300000000000000e+03,497,390,887,52,0
2017,1.0030000000000000e+03,0,0,0,0,0
2017,1.0500000000000000e+03,0,0,0,0,0
2017,1.0430000000000000e+03,1800,813,2670,190,0
2017,1.1280000000000000e+03,215,97,306,4,0
2017,1.1250000000000000e+03,0,0,0,0,0
