año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2017,1.1300000000000000e+02,175,0,0,0,0,168,0,0,0,0,0,0,0,1,0,0,0,0
2017,6.1900000000000000e+02,65,1,2,6,1,65,1,2,6,1,3,0,4,0,0,4,0,1
2017,1.6300000000000000e+02,20,0,0,4,0,20,0,0,4,0,5,0,0,0,0,0,9,4
2017,1.3100000000000000e+02,82,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2017,3.7500000000000000e+02,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2017,1.0900000000000000e+03,791,23,3,23,2,724,21,3,22,2,10,6,86,4,0,60,0,2
2017,7.6400000000000000e+02,736,13,2,16,1,636,13,2,16,1,17,0,16,56,8,32,0,0
2017,1.4000000000000000e+01,42,3,2,3,0,40,3,2,3,0,1,0,5,0,0,3,0,3
2017,6.5700000000000000e+02,135,3,2,4,0,94,2,1,3,0,3,0,8,0,0,1,0,0
2017,3.6200000000000000e+02,65,2,1,3,1,65,2,1,3,1,7,0,0,0,0,8,0,0
2017,9.8900000000000000e+02,93,2,1,4,0,54,1,1,4,0,5,0,6,0,0,0,0,0
2017,9.9000000000000000e+02,114,1,1,4,0,89,1,1,4,0,2,0,13,0,0,0,8,0
2017,6.8000000000000000e+02,794,24,3,28,2,714,24,3,28,2,12,3,36,0,0,3,0,0
2017,4.1100000000000000e+02,106,4,1,9,2,106,4,1,9,2,2,0,6,0,0,0,0,0
2017,2.4100000000000000e+02,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2017,5.5800000000000000e+02,287,4,3,7,0,227,4,3,7,0,9,1,20,0,0,1,11,1
2017,1.6700000000000000e+02,26,2,1,2,0,16,1,0,2,0,1,0,0,0,0,0,0,0
2017,2.4800000000000000e+02,163,0,0,4,1,163,0,0,4,1,2,0,10,0,0,0,0,0
2017,2.2400000000000000e+02,23,1,1,2,0,23,1,1,2,0,2,0,0,0,0,0,0,1
2017,5.9100000000000000e+02,412,15,2,15,1,390,15,2,15,1,10,0,62,2,0,0,0,4
2017,5.8600000000000000e+02,377,12,2,12,0,371,12,2,12,0,4,4,29,12,0,0,16,0
2017,4.5300000000000000e+02,179,0,0,0,0,113,0,0,0,0,2,0,1,0,0,0,0,0
2017,1.4500000000000000e+02,96,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2017,5.1100000000000000e+02,270,11,2,9,0,264,11,2,9,0,6,3,10,0,0,0,14,0
2017,5.3000000000000000e+02,336,8,2,9,0,322,8,2,9,0,6,3,25,0,0,0,2,2
2017,6.0000000000000000e+00,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,10,0,0
2017,1.6100000000000000e+02,431,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
2017,6.2300000000000000e+02,390,14,2,10,2,364,14,2,10,2,8,2,18,0,0,0,0,0
2017,3.4900000000000000e+02,19,0,0,1,0,19,0,0,1,0,1,0,0,0,0,0,0,0
2017,8.7500000000000000e+02,96,0,0,7,1,96,0,0,7,1,2,0,6,0,0,2,0,0
2017,9.4600000000000000e+02,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2017,1.0230000000000000e+03,277,6,5,11,1,238,6,5,11,1,3,0,38,0,0,29,0,0
2017,1.0540000000000000e+03,267,12,2,15,1,211,6,2,13,1,6,0,16,0,0,0,24,2
2017,1.0570000000000000e+03,107,0,0,0,0,83,0,0,0,0,4,0,0,0,0,0,0,0
2017,1.0310000000000000e+03,40,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
2017,1.0320000000000000e+03,230,8,8,12,1,195,8,8,12,1,4,0,25,0,0,31,0,0
2017,1.0640000000000000e+03,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2017,2.2600000000000000e+02,82,2,1,5,1,82,2,1,5,1,2,0,0,0,0,5,0,5
2017,6.8700000000000000e+02,202,6,5,7,0,164,6,5,7,0,4,0,12,20,0,0,12,1
2017,7.4500000000000000e+02,713,27,3,16,2,704,27,3,16,2,7,4,69,52,0,0,29,2
2017,1.0900000000000000e+02,86,3,2,11,1,84,3,2,6,1,4,0,0,0,0,1,0,0
2017,8.0800000000000000e+02,309,10,8,9,0,281,7,8,7,0,5,0,1,22,0,0,17,7
2017,9.7100000000000000e+02,33,0,0,6,0,5,0,0,6,0,1,0,1,0,0,12,0,0
2017,1.2800000000000000e+02,33,1,1,3,0,33,0,0,3,0,1,0,3,0,0,2,2,1
2017,9.1900000000000000e+02,430,8,2,8,0,386,8,2,8,0,5,3,34,8,0,0,0,0
2017,7.2500000000000000e+02,915,28,3,32,2,797,28,3,32,2,16,0,91,0,0,0,20,3
2017,3.0000000000000000e+00,101,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
2017,3.0600000000000000e+02,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.5000000000000000e+01,29,0,0,3,0,20,0,0,2,0,1,0,3,0,0,3,0,0
2017,2.6400000000000000e+02,76,3,0,4,0,76,3,1,4,0,2,0,10,0,0,0,0,0
2017,8.6700000000000000e+02,9,0,0,2,0,5,0,0,2,0,1,0,0,0,0,0,0,0
2017,9.1000000000000000e+02,227,2,1,11,0,199,2,1,11,0,8,0,16,0,0,1,10,1
2017,1.0530000000000000e+03,325,7,2,8,0,288,7,2,8,0,6,1,10,0,0,0,14,3
2017,1.0550000000000000e+03,381,8,3,15,1,366,8,3,14,1,18,0,40,0,0,0,35,5
2017,1.0810000000000000e+03,100,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2017,1.0990000000000000e+03,20,0,2,5,0,20,0,0,3,0,1,0,1,0,0,0,0,0
2017,1.1150000000000000e+03,21,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,2
2017,5.2900000000000000e+02,100,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0
2017,3.4500000000000000e+02,170,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
2017,5.1500000000000000e+02,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
2017,1.7400000000000000e+02,63,0,0,3,0,62,0,0,3,0,0,0,0,0,0,0,0,3
2017,5.2300000000000000e+02,197,0,0,3,0,189,0,0,3,0,5,0,0,0,25,3,0,0
2017,6.9700000000000000e+02,193,9,3,6,1,193,9,3,6,1,5,0,1,1,1,1,1,1
2017,2.3900000000000000e+02,196,0,0,5,1,83,0,0,4,1,3,0,10,0,0,5,0,0
2017,2.8700000000000000e+02,287,4,3,11,1,287,1,3,11,1,6,0,0,0,16,0,0,0
2017,3.7700000000000000e+02,106,0,0,0,0,88,0,0,0,0,1,0,0,0,0,0,0,0
2017,6.9200000000000000e+02,273,10,5,8,0,262,9,5,8,0,3,0,28,15,0,0,0,0
2017,4.3500000000000000e+02,68,1,1,3,1,68,1,1,3,1,2,0,0,0,0,0,0,0
2017,4.2300000000000000e+02,31,3,1,2,0,31,2,1,2,0,2,0,0,0,0,2,3,2
2017,3.5100000000000000e+02,85,0,0,3,0,52,0,0,3,0,2,0,0,0,0,3,2,1
2017,8.1000000000000000e+02,9,0,1,1,0,9,0,1,1,0,1,0,0,0,0,1,1,1
2017,8.3000000000000000e+02,224,6,2,8,0,224,6,2,8,0,3,0,7,0,0,10,0,2
2017,8.9200000000000000e+02,419,19,6,13,0,361,10,6,13,0,5,0,30,24,0,0,31,13
2017,9.2100000000000000e+02,170,4,4,9,1,170,4,4,9,1,2,0,1,0,0,6,6,0
2017,9.9100000000000000e+02,12,1,1,1,0,12,1,1,1,0,1,0,0,0,0,0,0,0
